Plant State,"Elec Fuel Consumption
MMBtu"
GA,"97,933,326"
FL,"6,085"
FL,"44,697"
FL,"422,660"
FL,"7,321,747"
FL,"19,756"
FL,0
FL,0
FL,0
FL,"5,817,215"
FL,0
FL,413
FL,4
FL,"19,819"
FL,"2,943,944"
FL,"61,706"
FL,"5,264,418"
FL,0
FL,"21,305,427"
FL,"9,211,039"
FL,"427,730"
FL,"586,800"
FL,0
FL,0
FL,38
FL,"34,877"
FL,"2,222"
FL,0
FL,"2,001"
FL,0
FL,0
FL,0
FL,"6,865"
FL,0
FL,"2,017,584"
FL,0
FL,0
FL,0
FL,0
FL,"16,329,060"
FL,"1,523"
FL,"597,123"
FL,0
VT,"3,022"
CA,"1,012,395"
FL,"16,217"
FL,"989,601"
FL,0
FL,"9,992"
FL,0
FL,"10,635,566"
FL,"29,345"
FL,"303,926"
FL,"1,519,474"
FL,0
FL,0
FL,"18,815"
FL,"10,577,160"
FL,0
FL,0
FL,"788,041"
WY,"53,681"
FL,773
MO,"1,033"
AL,"1,445,588"
GA,"84,099,686"
GA,"226,643"
GA,"77,628"
GA,"125,685"
AL,"485,943"
GA,0
GA,"5,265,834"
GA,0
GA,"122,476,129"
GA,530
GA,"27,291"
GA,"236,547"
CA,"11,097"
GA,"288,558"
GA,128
GA,"120,844"
GA,"54,608"
GA,"423,439"
GA,"506,572"
GA,"402,380"
GA,"520,305"
GA,"158,973"
GA,"319,445"
GA,0
GA,"15,915,124"
GA,"167,928"
GA,160
GA,0
GA,"250,011"
CA,0
CA,0
GA,"139,352"
GA,0
GA,0
GA,0
GA,"1,444,784"
GA,"122,534"
GA,"108,148"
GA,"670,652"
GA,"499,384"
GA,"1,450,055"
HI,0
HI,0
HI,"26,862,425"
HI,"828,158"
HI,0
HI,0
HI,"9,692,504"
HI,"22,608"
HI,"62,282"
HI,"14,962"
HI,"20,807"
HI,0
HI,0
HI,"2,278,804"
HI,0
CA,"76,003"
NE,"176,213"
VT,"16,335"
AK,"76,894"
ID,"346,475"
TX,1
HI,0
HI,0
HI,"319,661"
TX,0
ME,"456,268"
NY,"105,550"
ID,"712,143"
ID,"953,732"
ID,"5,387,331"
ID,"1,171,032"
ID,"114,523"
ID,"55,821"
ID,"330,463"
ID,"625,747"
ID,430
ID,"140,378"
ID,"364,085"
ID,"176,686"
ID,"76,378"
ID,"283,411"
ID,"187,367"
ID,"95,359"
ID,"150,689"
ID,"89,432"
ID,"49,154"
ID,"3,759,756"
ID,"253,550"
CA,"11,097"
ID,"6,839,955"
ID,"130,740"
ID,"39,027"
ID,"144,144"
CA,"12,553"
ID,"1,889,634"
ID,"527,808"
IL,0
IL,"40,381"
IL,"29,425,787"
IL,0
IL,0
IL,"77,202,158"
IL,"83,784,679"
IL,"108,238"
IL,0
IL,"252,341"
IL,0
IL,"43,172,747"
IL,0
IL,"27,655"
IL,"62,057,250"
IL,"73,409,641"
IL,"84,581,834"
IL,"27,317"
IL,"57,602"
IL,"12,765,618"
IL,0
IL,"65,168"
IL,"3,443,996"
IL,"27,563"
IL,0
IL,"242,541"
IL,"1,533,391"
IL,"39,180,051"
IL,"141,282"
IL,0
IL,0
IL,"64,574,427"
IL,"11,994"
IL,"59,887"
IL,"23,922"
CA,"37,140"
IL,0
IL,"268,522"
WA,"107,523"
UT,"6,103"
IL,"4,328"
IL,0
IL,822
IL,0
IL,"3,711"
IL,0
IL,"1,358"
IL,0
IL,542
IL,0
IL,834
IL,0
IL,930
IL,12
IL,"5,729"
IL,"25,300"
IL,"1,626"
IL,0
IL,0
IL,0
IL,"1,209"
IL,550
IL,"107,063"
IL,"2,232"
IL,"2,446"
IL,"2,092,650"
IL,"1,821"
IL,0
IL,519
IL,"2,577"
IL,"14,990"
IL,886
IL,"11,445"
IL,0
IL,"13,113,771"
IL,"122,369"
IL,0
IL,0
IL,216
IL,"2,802"
IL,0
IL,0
IL,"5,342"
IL,"1,652"
IL,0
IL,"2,563"
IL,0
IL,"39,731"
IL,"12,524"
IL,"1,312,300"
IL,"10,892,215"
IL,"6,394"
IL,0
IN,"57,111,804"
IN,"103,084"
IN,"4,888,005"
IN,"45,534"
ID,"11,828"
IN,"82,516"
IN,0
IN,"21,885"
IN,"3,278,133"
IN,"1,183"
IN,0
IN,0
IN,"14,136,650"
IN,0
IN,"30,723,257"
IN,0
IN,0
IN,"70,994"
IN,279
IN,"85,920,007"
IN,"149,715"
IN,"2,156,826"
IN,"178,342"
IN,"13,285,691"
IN,"65,749"
IN,"85,350"
IN,"3,209"
IN,"169,095"
IN,"12,627"
IN,"44,871,800"
IN,"42,551"
IN,"9,927,294"
IN,0
IN,0
IN,0
IN,"10,288,572"
IN,"23,300,617"
IN,"973,703"
IN,0
IN,"12,834,802"
IN,"9,466,869"
IN,"168,082"
NC,0
NC,0
NC,0
NC,"131,118"
NC,"418,885"
NC,"43,490"
NC,"44,328"
NC,"5,329"
UT,"4,579"
IN,0
IN,0
IN,0
IN,0
IN,0
IN,0
IN,78
IN,0
IN,0
IN,"705,012"
IN,"11,229"
IA,"42,188"
IA,"12,454,378"
IA,"18,229"
IA,0
IA,"1,513,646"
IA,"203,249"
IA,"860,154"
IA,"49,291"
IA,"438,368"
IA,"107,424"
IA,"576,668"
IA,"64,982,015"
IA,"32,710"
IA,"153,922"
IA,"329,389"
IA,"7,228,961"
IA,0
IA,"11,571"
IA,"16,304"
IA,"343,891"
IA,0
IA,"3,053,071"
IA,"5,437"
IA,"1,287"
IA,"3,130"
IA,0
IA,0
IA,"3,543,096"
IA,"397,753"
IA,0
IA,355
IA,462
IA,"2,066"
IA,687
IA,317
IA,0
IA,0
IA,0
IA,"6,178"
IA,0
IA,468
IA,0
IA,0
IA,"26,647"
IA,0
IA,"19,551"
IA,"150,877"
IA,0
IA,0
IA,267
IA,261
IA,243
IA,"2,589"
IA,0
IA,"2,292"
IA,159
IA,"1,287"
IA,92
IA,"3,097"
IA,0
IA,0
IA,"5,214"
IA,0
IA,0
IA,386
IA,739
IA,0
IA,"3,838"
IA,0
IA,924
IA,"3,574"
IA,397
IA,"1,398"
IA,"1,077"
IA,"4,819"
IA,135
IA,"2,882"
IA,858
IA,623
IA,"5,564"
IA,"5,162"
IA,"11,732"
IA,"93,832"
IA,"4,414,895"
IA,"278,650"
IA,"3,525,122"
IA,377
IA,0
IA,382
IA,"4,463"
IA,"3,454"
IA,"15,255"
IA,"21,897"
IA,60
IA,118
IA,0
IA,120
IA,164
IA,282
IA,241
IA,"14,594"
IA,701
IA,189
IA,"10,538"
IA,"1,943"
IA,25
IA,0
IA,"2,989"
IA,0
IA,41
IA,42
IA,239
IA,0
IA,"1,494"
IA,"6,355"
IA,"20,259"
IA,"4,061"
IA,0
IA,0
IA,0
IA,0
IA,405
IA,525
IA,273
IA,6
IA,"72,125"
IA,0
IA,"617,241"
IA,0
IA,"2,782"
IA,"18,492"
IA,0
IA,0
IA,0
IA,"36,476"
IA,0
KS,0
KS,0
KS,"5,123"
KS,0
KS,"50,473"
KS,"105,060"
KS,0
KS,"204,519"
KS,0
KS,0
KS,"10,727,826"
KS,957
KS,"96,099"
KS,"79,518"
KS,"2,101,466"
KS,209
KS,"143,779"
KS,"332,618"
KS,"70,742,513"
KS,"114,311"
KS,"685,000"
KS,336
KS,"954,772"
KS,"21,735,039"
KS,59
KS,977
KS,211
KS,0
KS,56
KS,0
KS,186
KS,0
KS,"3,099"
KS,348
KS,731
KS,"1,552"
KS,18
KS,308
KS,"1,147"
KS,76
KS,0
KS,"3,234,701"
KS,50
KS,250
KS,"6,463"
KS,"9,244"
KS,0
KS,0
KS,25
KS,"23,696"
KS,"1,482"
KS,76
KS,36
KS,310
KS,138
KS,0
KS,0
KS,"1,764"
KS,"2,334"
KS,532
KS,"3,042"
KS,0
KS,0
KS,18
KS,0
KS,164
KS,155
KS,"2,778"
KS,"24,066"
KS,281
KS,"15,775"
KS,0
KS,"2,115"
KS,0
KS,"159,481"
KS,0
KS,0
KS,"3,432"
KS,"56,914"
KS,743
KS,0
KS,"2,230"
KS,0
KS,378
KS,176
KS,"145,401"
KS,"414,735"
KS,0
KS,132
KS,797
KS,0
KS,126
KS,563
KS,415
KS,0
KS,366
KS,"1,852"
KS,207
KS,0
KS,152
KS,94
KS,0
KS,"2,902"
KS,"14,274"
KS,41
KS,"18,997"
KS,202
KS,376
KS,"30,567"
KS,"6,718"
KS,0
KS,0
KS,213
KS,0
KS,186
KS,"1,525"
KS,270
KS,210
KS,162
KS,499
KS,270
KS,"1,926"
KS,"7,686"
KS,370
KS,108
KS,"31,095"
KS,"28,040"
KS,"374,734"
KS,"85,815"
KY,"5,256,316"
KY,"206,596"
KY,"89,328"
KY,"4,423,449"
KY,"58,146"
KY,"11,683,929"
KY,"38,115"
KY,"108,321,799"
KY,"104,439"
KY,0
KY,0
KY,0
KY,419
KY,"23,708"
KY,0
KY,"30,610,790"
KY,0
KY,0
KY,"75,721,078"
KY,"220,232"
KY,0
KY,"948,060"
KY,"1,061,288"
KY,"2,144,198"
KY,552
KY,"3,709,277"
KY,"17,401,777"
KY,0
KY,"29,185,331"
KY,0
KY,"138,948"
KY,"67,961,862"
KY,"3,157,079"
KY,0
KY,"20,340"
KY,0
KY,"2,117"
KY,0
KY,"5,991,943"
KY,"26,621"
LA,"8,714,125"
LA,"374,002"
LA,0
LA,"10,310"
LA,"4,458,120"
LA,"47,586"
LA,"81,753"
LA,"15,782,040"
LA,"22,570,134"
LA,"9,958,969"
LA,"19,772,440"
LA,"119,636"
LA,0
LA,"3,323,905"
LA,0
LA,"9,918,944"
LA,"1,546"
LA,"1,434,533"
LA,"26,309"
LA,"25,274,924"
LA,0
LA,"47,687,172"
LA,0
LA,"62,480"
LA,0
LA,"1,086,670"
LA,0
LA,"1,646,263"
LA,0
LA,0
LA,0
LA,0
LA,"1,146,358"
LA,"692,948"
ME,"96,616"
ME,"143,098"
ME,"33,454"
ME,"135,837"
ME,"296,834"
ME,"5,825"
ME,0
ME,0
ME,"191,679"
ME,"431,029"
ME,"721,894"
ME,"128,276"
ME,"29,857"
ME,"16,497"
ME,"14,754"
ME,"29,425"
ME,"138,813"
ME,"368,041"
ME,0
ME,"16,338"
ME,"2,572,901"
ME,"75,225"
ME,"270,780"
ME,"228,443"
ME,"1,312,161"
ME,"2,878"
MD,"13,385"
MD,"1,093,961"
MD,"186,667"
MD,0
MD,"370,656"
MD,"292,804"
MD,"3,287,689"
MD,"92,216"
MD,"25,609"
MD,"13,323"
MD,"7,635"
MD,"156,960"
MD,"78,875"
MD,0
MD,"165,743"
MD,"82,152"
MD,0
MD,"3,073,429"
MD,0
MD,0
MD,"126,612"
MD,"1,181,983"
MD,0
MD,"96,939"
MD,"12,927,096"
MD,0
MD,"5,993,401"
MD,"52,453"
MD,0
MA,"17,730"
MA,"3,601,693"
MA,"8,669,859"
MA,0
MA,"51,668"
MA,0
MA,"242,439"
MA,"140,989"
MA,"6,929,910"
MA,0
MA,"3,628"
MA,"19,104"
MA,"731,015"
MA,"1,784,716"
MA,"102,789"
MA,"4,658"
MA,"2,969,676"
MA,"36,144"
MA,"12,069"
MA,"559,637"
MA,"71,071"
MA,0
MA,341
MA,6
MA,"148,266"
MA,"963,453"
MA,"24,782"
MA,0
MA,0
MA,"24,410"
MA,"51,504"
MA,"49,180"
MA,"8,809"
MA,946
MA,"1,514"
MA,0
MA,0
MA,712
MA,0
MA,0
MA,0
MA,0
MA,"135,231"
MA,"201,066"
MA,0
MA,697
MA,"1,801"
MA,"12,506"
MA,"61,506"
MA,0
MA,"7,850"
MA,"172,274"
MA,"6,361"
MA,"92,563"
MA,0
MI,"89,142"
MI,"44,703"
MI,"200,195"
MI,"89,096"
MI,"97,680"
MI,"373,659"
MI,"90,261"
MI,"3,278,928"
MI,"84,425"
MI,"30,389,919"
MI,"82,260"
MI,"94,915"
MI,"270,080"
MI,"97,397"
MI,"236,427"
MI,"214,932"
MI,"78,714,151"
MI,"61,614"
MI,0
MI,"48,274"
MI,"28,524,402"
MI,"85,924"
MI,"38,596"
MI,"4,257"
MI,"527,955"
MI,"15,497"
MI,"69,699,787"
MI,"382,091"
MI,"2,157"
MI,"20,877,429"
MI,"276,575"
MI,"13,845,556"
MI,"28,227,083"
MI,"108,067,031"
MI,"15,058"
MI,"122,040"
MI,869
MI,"2,560"
MI,"3,588"
MI,0
MI,585
MI,0
MI,0
MI,"1,293"
MI,0
MI,"41,984"
MI,0
MI,0
MI,"2,146"
MI,0
MI,0
MI,"580,142"
MI,"74,352"
MI,"448,826"
MI,"6,511,548"
MI,0
MI,"11,022,070"
MI,"2,007"
MI,"18,711"
MI,"578,657"
MI,"43,592"
MI,0
MI,0
MI,"5,566,320"
MI,"5,353"
MI,"12,736"
MI,"702,604"
MI,"85,712"
MI,"54,041"
WI,"30,871"
MI,"29,838"
MI,"16,373"
MI,"23,036"
MI,0
MI,"1,231"
MI,"147,347"
MI,"1,257,049"
MI,"30,424"
MI,"196,222"
WI,"54,602"
MI,"112,753"
MI,"33,147"
MI,"101,548"
MI,"119,755"
MI,"200,096"
MI,"28,974"
MI,"108,065"
MI,"116,923"
MI,"19,937"
MI,0
MI,0
MI,"1,357"
MI,"14,731"
MI,"15,654"
MI,"8,942,490"
MI,"1,913"
MI,"54,216"
MI,"3,075"
MI,791
MI,"4,755"
MI,0
MI,"100,560"
MI,118
MI,136
MI,"1,540"
MI,66
MI,0
MI,601
MI,0
MI,"1,525"
MI,"5,998"
MI,205
MI,"498,769"
MI,433
MI,0
MI,"16,344"
MI,0
